,UPC,Title,StarRating,Category,ProdType,Price_IncTax,Available,Stock,PriceCategory,Stock_Rg
0,a897fe39b1053632,A Light in the Attic,3,Poetry,Books,51.77,In stock,22,High,21-30
1,90fa61229261140a,Tipping the Velvet,1,Historical Fiction,Books,53.74,In stock,20,High,11-20
2,6957f44c3847a760,Soumission,1,Fiction,Books,50.1,In stock,20,High,11-20
3,e00eb4fd7b871a48,Sharp Objects,4,Mystery,Books,47.82,In stock,20,Medium,11-20
4,4165285e1663650f,Sapiens A Brief History of Humankind,5,History,Books,54.23,In stock,20,High,11-20
5,f77dbf2323deb740,The Requiem Red,1,Young Adult,Books,22.65,In stock,19,Low,11-20
6,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,4,Business,Books,33.34,In stock,19,Medium,11-20
7,e72a5dfc7e9267b2,The Coming Woman A Novel Based on the Life of the Infamous Feminist Victoria Woodhull,3,Default,Books,17.93,In stock,19,Low,11-20
8,e10e1e165dc8be4a,The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,Default,Books,22.6,In stock,19,Low,11-20
9,1dfe412b8ac00530,The Black Maria,1,Poetry,Books,52.15,In stock,19,High,11-20
10,0312262ecafa5a40,Starving Hearts Triangular Trade Trilogy 1,2,Default,Books,13.99,In stock,19,Low,11-20
11,30a7f60cd76ca58c,Shakespeares Sonnets,4,Poetry,Books,20.66,In stock,19,Low,11-20
12,ce6396b0f23f6ecc,Set Me Free,5,Young Adult,Books,17.46,In stock,19,Low,11-20
13,3b1c02bac2a429e6,Scott Pilgrims Precious Little Life Scott Pilgrim 1,5,Sequential Art,Books,52.29,In stock,19,High,11-20
14,a34ba96d4081e6a4,Rip it Up and Start Again,5,Music,Books,35.02,In stock,19,Medium,11-20
15,deda3e61b9514b83,Our Band Could Be Your Life Scenes from the American Indie Underground 19811991,3,Music,Books,57.25,In stock,19,High,11-20
16,feb7cc7701ecf901,Olio,1,Poetry,Books,23.88,In stock,19,Low,11-20
17,e30f54cea9b38190,Mesaerion The Best Science Fiction Stories 18001849,1,Science Fiction,Books,37.59,In stock,19,Medium,11-20
18,a18a4f574854aced,Libertarianism for Beginners,2,Politics,Books,51.33,In stock,19,High,11-20
